label,text,clean_text,length
ham,Convey my regards to him,convey my regards to him,24
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",i cant speak bcaz mobile have problem i can listen you but you cannt listen my voice so i calls you later,111
ham,Huh but i cant go 2 ur house empty handed right?,huh but i cant go 2 ur house empty handed right,48
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,196
ham,How much it will cost approx . Per month.,how much it will cost approx  per month,41
ham,Yes there were many sweets,yes there were many sweets,26
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",japanese proverb if one can do it u too can do it if none can do itu must do it indian version if one can do it let him do it if none can do itleave it and finally kerala version if one can do it stop him doing it if none can do it make a strike against it ,276
ham,Are you planning to come chennai?,are you planning to come chennai,33
ham,Ok no prob...,ok no prob,13
ham,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,i dont know jack shit about anything or id sayask something helpful but if you want you can pretend that i did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,193
spam,As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,as a registered optin subscriber ur draw 4 100 gift voucher will be entered on receipt of a correct ans to 80062 whats no1 in the bbc charts,141
ham,Oic... I saw him too but i tot he din c me... I found a group liao...,oic i saw him too but i tot he din c me i found a group liao,69
ham,No. I dont want to hear anything,no i dont want to hear anything,32
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",japanese proverb if one can do it u too can do it if none can do itu must do it indian version if one can do it let him do it if none can do itleave it and finally kerala version if one can do it stop him doing it if none can do it make a strike against it ,276
ham,Hmm .. Bits and pieces lol ... *sighs* ...,hmm  bits and pieces lol  sighs ,42
ham,Dear good morning now only i am up,dear good morning now only i am up,34
ham,WHORE YOU ARE UNBELIEVABLE.,whore you are unbelievable,27
ham,Hey now am free you can call me.,hey now am free you can call me,32
ham,Great! How is the office today?,great how is the office today,31
spam,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8",double mins  1000 txts on orange tariffs latest motorola sonyericsson  nokia with bluetooth free call mobileupd8 on 08000839402 or call2optouthf8,151
ham,Whatsup there. Dont u want to sleep,whatsup there dont u want to sleep,35
ham, &lt;#&gt;  mins but i had to stop somewhere first., ltgt  mins but i had to stop somewhere first,51
ham,Dunno da next show aft 6 is 850. Toa payoh got 650.,dunno da next show aft 6 is 850 toa payoh got 650,51
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,camera  you are awarded a sipix digital camera call 09061221066 fromm landline delivery within 28 days,106
ham,I walked an hour 2 c u! doesnt that show I care y wont u believe im serious?,i walked an hour 2 c u doesnt that show i care y wont u believe im serious,77
ham,I am great! How are you?,i am great how are you,24
ham,Chk in ur belovd ms dict,chk in ur belovd ms dict,24
spam,2/2 146tf150p,22 146tf150p,13
ham,And is there a way you can send shade's stuff to her. And she has been wonderful too.,and is there a way you can send shades stuff to her and she has been wonderful too,85
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent planning to buy later i check already lido only got 530 show in e afternoon u finish work already,107
ham,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.,i don wake since i checked that stuff and saw that its true no available spaces pls call the embassy or send a mail to them,126
ham,Ok. So april. Cant wait,ok so april cant wait,23
ham,Dunno lei... I thk mum lazy to go out... I neva ask her yet...,dunno lei i thk mum lazy to go out i neva ask her yet,62
ham,I came hostel. I m going to sleep. Plz call me up before class. Hrishi.,i came hostel i m going to sleep plz call me up before class hrishi,71
ham,S:)s.nervous  &lt;#&gt; :),ssnervous  ltgt ,26
ham,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",helloooo wake up sweet morning welcomes you enjoy this day with full of joy gud mrng,109
spam,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs",hi there 2nights ur lucky night uve been invited 2 xchat the uks wildest chat txt chat to 86688 now 150pmsgrcvdhgsuite3422landsroww1j6hl ldn 18yrs,156
ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),wow didnt think it was that common i take it all back ur not a freak unless u chop it off,95
ham,Okay but i thought you were the expert,okay but i thought you were the expert,38
ham,Were somewhere on Fredericksburg,were somewhere on fredericksburg,32
ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,that sucks so what do you got planned for your yo valentine i am your yo valentine arent i,94
ham,En chikku nange bakra msg kalstiya..then had tea/coffee?,en chikku nange bakra msg kalstiyathen had teacoffee,56
ham,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,7 at esplanade do  mind giving me a lift cos i got no car today,68
ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?",it wont b until 215 as trying 2 sort house out is that ok,60
ham,You flippin your shit yet?,you flippin your shit yet,26
ham,He didn't see his shadow. We get an early spring yay,he didnt see his shadow we get an early spring yay,52
spam,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,thesmszonecom lets you send free anonymous and masked messagesim sending this message from theredo you see the potential for abuse,138
ham,K..k:)where are you?how did you performed?,kkwhere are youhow did you performed,42
ham,So what u doing today?,so what u doing today,22
ham,Its hard to believe things like this. All can say lie but think twice before saying anything to me.,its hard to believe things like this all can say lie but think twice before saying anything to me,99
ham,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,when u love someone dont make them to love u as much as u do but love them so much that they dont want to be loved by anyone except you gud nit,148
ham,Kallis wont bat in 2nd innings.,kallis wont bat in 2nd innings,31
ham,Are you angry with me. What happen dear,are you angry with me what happen dear,39
ham,Great to hear you are settling well. So what's happenin wit ola?,great to hear you are settling well so whats happenin wit ola,64
ham,"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",good morning my boytoy hows those yummy lips  wheres my sexy buns now  what do you do  do you think of me  do you crave me  do you need me ,149
ham,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,i love u 2 babe r u sure everything is alrite is he being an idiot txt bak girlie,84
ham,What r u cooking me for dinner?,what r u cooking me for dinner,31
ham,Da is good good player.why he is unsold.,da is good good playerwhy he is unsold,40
ham,She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy,she just broke down a list of reasons why nobodys in town and i cant tell if shes being sarcastic or just faggy,114
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,for taking part in our mobile survey yesterday you can now have 500 texts 2 use however you wish 2 get txts just send txt to 80160 tc wwwtxt43com 150p,156
ham,Sending you greetings of joy and happiness. Do have a gr8 evening,sending you greetings of joy and happiness do have a gr8 evening,65
ham,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,u coming back 4 dinner rite dad ask me so i re confirm wif u,64
ham,"That's cool he'll be here all night, lemme know when you're around",thats cool hell be here all night lemme know when youre around,66
ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea",how are you my love  are you with your brother  time to talk english with him  grins say  hey muhommad penny says hello from across the sea,147
ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,sometimes heart remembrs someone very much forgets someone soon bcoz heart will not like everyone but liked ones will be remembered everytime bslvyl,158
ham,Ü takin linear algebra today?, takin linear algebra today,29
ham,So how are you really. What are you up to. How's the masters. And so on.,so how are you really what are you up to hows the masters and so on,72
ham,Hey whats up? U sleeping all morning?,hey whats up u sleeping all morning,37
ham,Thought we could go out for dinner. I'll treat you! Seem ok?,thought we could go out for dinner ill treat you seem ok,60
ham,Dai what this da.. Can i send my resume to this id.,dai what this da can i send my resume to this id,51
ham,Just taste fish curry :-P,just taste fish curry p,25
ham,Am slow in using biola's fne,am slow in using biolas fne,28
ham,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks.",had the money issue weigh me down but thanks to you i can breathe easier now ill make sure you dont regret it thanks,121
ham,Yes da. Any plm at ur office,yes da any plm at ur office,28
ham,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",i promise to take good care of you princess i have to run now please send pics when you get a chance ttyl,110
spam,Please CALL 08712402578 immediately as there is an urgent message waiting for you,please call 08712402578 immediately as there is an urgent message waiting for you,81
ham,It means u could not keep ur words.,it means u could not keep ur words,35
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,you have registered sinco as payee log in at icicibankcom and enter urn  ltgt  to confirm beware of frauds do not share or disclose urn to anyone,155
spam,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,valentines day special win over 1000 in our quiz and take your partner on the trip of a lifetime send go to 83600 now 150pmsg rcvd custcare08718720201,158
ham,"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone""",my painful personal thought i always try to keep everybody happy all the time but nobody recognises me when i am alone,122
ham,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?",no but we found a diff farm shop to buy some cheese on way back now can i call in,85
ham,Are you this much buzy,are you this much buzy,22
spam,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp,dear voucher holder have your next meal on us use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttpwwwvouch4mecometlpdiningasp,153
ham,"Nothing, i got msg frm tht unknown no..",nothing i got msg frm tht unknown no,39
ham,I think i've fixed it can you send a test message?,i think ive fixed it can you send a test message,50
ham,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy",good afternoon loverboy  how goes you day  any luck come your way i think of you sweetie and send my love across the sea to make you smile and happy,152
ham,"That‘s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",thats the thing with apes u can fight to the death to keep something but the minute they have it when u let go thats it,124
ham,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,okay lor wah like that def they wont let us go haha what did they say in the terms and conditions,110
ham,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.,hurry home u big butt hang up on your last caller if u have to food is done and im starving dont ask what i cooked,120
spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&,free video camera phones with half price line rental for 12 mths and 500 cross ntwk mins 100 txts call mobileupd8 08001950382 or call2optout674,146
ham,I was slept that time.you there?,i was slept that timeyou there,32
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",hot live fantasies call now 08707509020 just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 is a national rate call,122
ham,Got it! It looks scrumptious... daddy wants to eat you all night long!,got it it looks scrumptious daddy wants to eat you all night long,70
ham,"Well, I was about to give up cos they all said no they didn‘t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?",well i was about to give up cos they all said no they didnt do one nighters i persevered and found one but it is very cheap so i apologise in advance it is just somewhere to sleep isnt it,192
ham,He also knows about lunch menu only da. . I know,he also knows about lunch menu only da  i know,48
ham,"Gud gud..k, chikku tke care.. sleep well gud nyt",gud gudk chikku tke care sleep well gud nyt,48
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,lol grr my mom is taking forever with my prescription pharmacy is like 2 minutes away ugh,92
ham,Wife.how she knew the time of murder exactly,wifehow she knew the time of murder exactly,44
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,hows it feel mr your not my real valentine just my yo valentine even tho u hardly play,91
ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,wat so late still early mah or we juz go 4 dinner lor aiya i dunno,71
ham,Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.,usually the body takes care of it buy making sure it doesnt progress can we pls continue this talk on saturday,112
ham,HAPPY NEW YEAR MY NO.1 MAN,happy new year my no1 man,26
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),feel yourself that you are always happy slowly it becomes your habit amp finally it becomes part of your life follow it happy morning amp have a happy day,166
ham,You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! ,you stayin out of trouble strangersaw dave the other day hes sorted nowstill with me bloke when u gona get a girl mrur mum still thinks we will get 2getha ,161
ham,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",good afternoon babe how goes that day  any job prospects yet  i miss you my love  sighs  ,105
ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,they released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear,112
ham,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,i am in escape theatre now  going to watch kavalan in a few minutes,69
ham,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,gods love has no limit gods grace has no measure gods power has no boundaries may u have gods endless blessings always in ur life gud ni8,149
spam,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!,you will be receiving this weeks triple echo ringtone shortly enjoy it,73
ham,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,am on the uworld site am i buying the qbank only or am i buying it with the self assessment also,98
ham,"Yeah that's what I thought, lemme know if anything's goin on later",yeah thats what i thought lemme know if anythings goin on later,66
ham,Yeah just open chat and click friend lists. Then make the list. Easy as pie,yeah just open chat and click friend lists then make the list easy as pie,75
ham,"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",actually fuck that just do whatever do find an excuse to be in tampa at some point before january though,106
ham,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",hi hope ur day  good back from walk table booked for half eight let me know when ur coming over,101
ham,Lmao but its so fun...,lmao but its so fun,22
ham,How dare you change my ring,how dare you change my ring,27
ham,"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?",honey  sweetheart  darling  sexy buns  sugar plum  loverboy  i miss you boytoy  smacks your ass did you go to the gym too ,135
spam,We currently have a message awaiting your collection. To collect your message just call 08718723815.,we currently have a message awaiting your collection to collect your message just call 08718723815,100
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow,meeting u is my work   tel me when shall i do my work tomorrow,65
ham,What Today-sunday..sunday is holiday..so no work..,what todaysundaysunday is holidayso no work,50
ham,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... ",mon okie lor haha best is cheap n gd food la ex oso okie depends on whether wana eat western or chinese food den which u prefer ,142
ham,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,ive been barred from all b and q stores for lifethis twat in orange dungerees came up to me and asked if i wanted decking so i got the first punch in,155
ham,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",sorry my battery died i can come by but im only getting a gram for now wheres your place,94
ham,All e best 4 ur exam later.,all e best 4 ur exam later,27
ham,He also knows about lunch menu only da. . I know,he also knows about lunch menu only da  i know,48
spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP""",for your chance to win a free bluetooth headset then simply reply back with adp,81
ham,TaKe CaRE n gET WeLL sOOn,take care n get well soon,25
ham,i dnt wnt to tlk wid u,i dnt wnt to tlk wid u,22
ham,Sorry de i went to shop.,sorry de i went to shop,24
ham,"Thanks, I'll keep that in mind",thanks ill keep that in mind,30
ham,Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.,hey sathya till now we dint meet not even a single time then how can i saw the situation sathya,96
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,you have an important customer service announcement from premier call freephone 0800 542 0578 now,99
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",the world is running and i am stillmaybe all are feeling the sameso be itor i have to admiti am madthen where is the correctionor let me call this is lifeand keep running with the worldmay be u r also runninglets run,226
ham,And pls pls drink plenty plenty water,and pls pls drink plenty plenty water,37
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,115
ham,Ü neva tell me how i noe... I'm not at home in da aft wat... , neva tell me how i noe im not at home in da aft wat ,61
ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",sweetheart hope you are not having that kind of day have one with loads of reasons to smile biola,100
ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",see i knew giving you a break a few times woul lead to you always wanting to miss curfew i was gonna gibe you til one but a midnight movie is not gonna get out til after 2 you need to come home you need to getsleep and if anything you need to b studdying ear training,276
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",fighting with the world is easy u either win or lose bt fightng with some1 who is close to u is dificult if u lose  u lose if u win  u still lose,149
ham,Oh sorry please its over,oh sorry please its over,24
ham,have * good weekend.,have  good weekend,20
ham,"Ok, be careful ! Don't text and drive !",ok be careful  dont text and drive ,39
ham,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,the guy did some bitching but i acted like id be interested in buying something else next week and he gave it to us for free,125
ham,I dont. Can you send it to me. Plus how's mode.,i dont can you send it to me plus hows mode,47
ham,Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!,just hopeing that wasnt too pissed up to remember and has gone off to his sisters or something,96
ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?,horrible u eat macs eat until u forgot abt me already rite u take so long 2 reply i thk its more toot than b4 so b prepared now wat shall i eat,150
ham,Oh ok.. Wat's ur email?,oh ok wats ur email,23
ham,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...",single line with a big meaning miss anything 4 ur best life but dont miss ur best life for anything gud nyt,123
ham,"Cool, text me when you're parked",cool text me when youre parked,32
ham,Well boy am I glad G wasted all night at applebees for nothing,well boy am i glad g wasted all night at applebees for nothing,62
spam,CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ,cds 4u congratulations ur awarded 500 of cd gift vouchers or 125 gift guaranteed  freeentry 2 100 wkly draw xt music to 87066 tncs wwwldewcom1win150ppmx3age16 ,166
ham,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?",its cool but tyler had to take off so were gonna buy for him and drop it off at his place later tonight our total order is a quarter you got enough,151
ham,Wat r u doing?,wat r u doing,14
ham,"U so lousy, run already come back then half dead... Hee...",u so lousy run already come back then half dead hee,58
ham,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,now that you have started dont stop just pray for more good ideas and anything i see that can help you guys ill forward you a link,133
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,someone u know has asked our dating service 2 contact you cant guess who call 09058091854 now all will be revealed po box385 m6 6wu,134
ham,Do you know when dad will be back?,do you know when dad will be back,34
ham,"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !",hi my love how goes that day fuck this morning i woke and dropped my cell on the way down the stairs but it seems alright  phews i miss you ,150
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt; ,its still not working and this time i also tried adding zeros that was the savings the checking is  ltgt ,114
ham,"I didnt get ur full msg..sometext is missing, send it again",i didnt get ur full msgsometext is missing send it again,59
ham,Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?,yup i shd haf ard 10 pages if i add figures  all got how many pages,72
ham,You call times job today ok umma and ask them to speed up,you call times job today ok umma and ask them to speed up,57
ham,Is fujitsu s series lifebook good?,is fujitsu s series lifebook good,34
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",free nokia or motorola with upto 12mths 12price linerental 500 free xnet mins100txtmth free btooth call mobileupd8 on 08001950382 or call 2optoutd3wv,158
ham,"Just wondering, the others just took off",just wondering the others just took off,40
ham,Well done and ! luv ya all ,well done and  luv ya all ,27
ham,Haha... Hope ü can hear the receipt sound... Gd luck!,haha hope  can hear the receipt sound gd luck,53
ham,"Sir, waiting for your letter.",sir waiting for your letter,29
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,private your 2003 account statement for shows 800 unredeemed sim points call 08718738001 identifier code 49557 expires 261104,134
ham,This is my number by vivek..,this is my number by vivek,28
ham,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,you only hate me you can call any but you didnt accept even a single call of mine or even you messaged,104
ham,No pic. Please re-send.,no pic please resend,23
spam,Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,please call amanda with regard to renewing or upgrading your current tmobile handset free of charge offer ends today tel 0845 021 3680 subject to ts and cs,160
ham,Noooooooo please. Last thing I need is stress. For once in your life be fair.,noooooooo please last thing i need is stress for once in your life be fair,77
ham,:) , ,3
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call our customer service representative on 0800 169 6031 between 10am9pm as you have won a guaranteed 1000 cash or 5000 prize,137
ham,Nah dub but je still buff,nah dub but je still buff,25
ham,Where u been hiding stranger?,where u been hiding stranger,29
ham,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.,oops i was in the shower when u called hey a parking garage collapsed at university hospital see im not crazy stuff like that does happen,142
ham,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-",we know taj mahal as symbol of love but the other lesser known facts 1 mumtaz was shahjahans 4th wife out of his 7 wifes 2 shahjahan killed mumtazs husband to marry her 3 mumtaz died in her  ltgt th delivery 4 he then married mumtazs sister question arises where the hell is the love the great hari,322
ham,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,have a safe trip to nigeria wish you happiness and very soon company to share moments with,91
ham,I didnt get anything da,i didnt get anything da,23
ham,"I'll text carlos and let you know, hang on",ill text carlos and let you know hang on,42
ham,26th OF JULY,26th of july,12
ham,I know that my friend already told that.,i know that my friend already told that,40
ham,Will ü b going to esplanade fr home?,will  b going to esplanade fr home,36
ham,Haha... can... But i'm having dinner with my cousin...,haha can but im having dinner with my cousin,54
ham,I not at home now lei...,i not at home now lei,24
ham,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc",hiya  have u been paying money into my account if so thanks got a pleasant surprise when i checked my balance u c i dont get statements 4 that acc,153
ham,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,idk im sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like im a failure in everything nobody wants me and now i feel like im failing you,184
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",do you know why god created gap between your fingers so that one who is made for you comes amp fills those gaps by holding your hand with love,151
